                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8443,                 2.5782,                0.90664,                 0.6278,                 0.0959,                0.08608,                0.02597,                 2.8068,                 1.6748,                0.84592,             0.00041401,             0.00041401,             0.00041401
                      2,                 2.6697,                  1.585,                0.85297,                0.63579,                0.11983,                0.11275,                0.03707,                 2.5689,                 1.4524,                0.82697,             0.00074844,             0.00074844,             0.00074844
                      3,                 2.5924,                 1.4662,                0.84096,                0.63918,                0.12515,                0.11817,                0.03687,                 2.5585,                  1.424,                0.82302,              0.0010004,              0.0010004,              0.0010004
                      4,                  2.411,                 1.3586,                0.82959,                0.70505,                0.13974,                 0.1386,                0.04542,                 2.4408,                 1.3288,                0.81342,             0.00087875,             0.00087875,             0.00087875
                      5,                 2.3822,                 1.3303,                0.82205,                 0.6404,                0.13659,                0.13524,                 0.0442,                 2.4266,                 1.2962,                0.81368,               0.000755,               0.000755,               0.000755
                      6,                 2.3067,                 1.2949,                0.81964,                0.65695,                0.15863,                0.14637,                0.04806,                 2.3815,                 1.2595,                0.81185,             0.00063125,             0.00063125,             0.00063125
                      7,                 2.2783,                 1.2438,                0.81629,                0.73171,                0.16894,                0.17695,                0.06029,                 2.3772,                 1.2173,                0.81053,              0.0005075,              0.0005075,              0.0005075
                      8,                 2.2529,                 1.2184,                0.81091,                0.71184,                 0.1705,                0.17794,                0.06664,                 2.2974,                 1.1883,                0.80449,             0.00038375,             0.00038375,             0.00038375
                      9,                 2.1904,                 1.1768,                0.81027,                0.71454,                 0.1797,                0.19604,                0.07518,                 2.2062,                  1.154,                0.79929,                0.00026,                0.00026,                0.00026
                     10,                 2.1371,                 1.1672,                0.80723,                0.71134,                0.17932,                0.19387,                0.07451,                 2.2324,                 1.1533,                0.79994,             0.00013625,             0.00013625,             0.00013625
